"name","material-icon-i","verified-identity-text","ad-count","location"
"채널A","how_to_reg","Advertiser has verified their identity","~63 ads","Based in: South Korea"
"N/A","","","~57 ads","Based in: Montenegro"
"N/A","how_to_reg","Advertiser has verified their identity","~53 ads","Based in: Philippines"
"A.E","how_to_reg","Advertiser has verified their identity","~22 ads","Based in: Tunisia"
"a","","","~18 ads","Based in: Austria"
"N/A","how_to_reg","Advertiser has verified their identity","~18 ads","Based in: U.S. Virgin Islands"
"A B","","","~13 ads","Based in: Poland"
"a","how_to_reg","Advertiser has verified their identity","~10 ads","Based in: Vietnam"
"A","how_to_reg","Advertiser has verified their identity","~8 ads","Based in: Egypt"
"N/A","","","~5 ads","Based in: United Arab Emirates"
"O A","","","~5 ads","Based in: Netherlands"
"N/A","","","~5 ads","Based in: United States"
"A-T","how_to_reg","Advertiser has verified their identity","~5 ads","Based in: Egypt"
"A","","","~4 ads","Based in: Italy"
"A O","","","~4 ads","Based in: Austria"
"A C","","","~4 ads","Based in: France"
"S A","","","~3 ads","Based in: Finland"
"a a","","","~3 ads","Based in: Japan"
"N/a","","","~3 ads","Based in: Romania"
"A A","","","~3 ads","Based in: Finland"
"A G","","","~3 ads","Based in: Poland"
"a","","","~2 ads","Based in: Ireland"
"a","how_to_reg","Advertiser has verified their identity","~2 ads","Based in: Hong Kong"
"A","","","~2 ads","Based in: Bosnia and Herzegovina"
"A","how_to_reg","Advertiser has verified their identity","~2 ads","Based in: France"
"A","how_to_reg","Advertiser has verified their identity","~2 ads","Based in: Japan"
"A","","","~2 ads","Based in: Turkiye"
"A","","","~2 ads","Based in: Hungary"
"a","how_to_reg","Advertiser has verified their identity","~2 ads","Based in: India"
"a a","","","~2 ads","Based in: Turkiye"
"N/A","","","~2 ads","Based in: Canada"
"A A","","","~2 ads","Based in: Saudi Arabia"
"a","how_to_reg","Advertiser has verified their identity","~1 ads","Based in: Sri Lanka"
"a","","","~1 ads","Based in: Peru"
"a","how_to_reg","Advertiser has verified their identity","~1 ads","Based in: Kenya"
"a","","","~1 ads","Based in: Spain"
"A","","","~1 ads","Based in: Germany"
"a","how_to_reg","Advertiser has verified their identity","~1 ads","Based in: Oman"
"a","","","~1 ads","Based in: Dominican Republic"
"a","","","~1 ads","Based in: Norway"
"A","","","~1 ads","Based in: Bahrain"
"a","how_to_reg","Advertiser has verified their identity","~1 ads","Based in: Moldova"
"A","","","~1 ads","Based in: Belgium"
"a","","","~1 ads","Based in: Yemen"
"A","how_to_reg","Advertiser has verified their identity","~1 ads","Based in: Rwanda"
"W A","how_to_reg","Advertiser has verified their identity","~1 ads","Based in: United Kingdom"
"A D","","","~1 ads","Based in: Turkiye"
"n/a","","","~1 ads","Based in: United Kingdom"
"N/A","","","~1 ads","Based in: Belarus"
"A B","","","~1 ads","Based in: Croatia"
"A Z","","","~1 ads","Based in: Germany"
"A+C","how_to_reg","Advertiser has verified their identity","~1 ads","Based in: Hong Kong"
"A C","","","~1 ads","Based in: Moldova"
"A.W","","","~1 ads","Based in: Tunisia"
"A R","","","~1 ads","Based in: Ukraine"
"A-J","how_to_reg","Advertiser has verified their identity","~1 ads","Based in: Belgium"
"A M","","","~1 ads","Based in: Japan"
"N/A","","","~1 ads","Based in: Spain"
"y a","","","~1 ads","Based in: Turkiye"
"N/A","","","~1 ads","Based in: Colombia"
"A.M","","","~1 ads","Based in: Poland"
"n.a","","","~1 ads","Based in: Australia"
"A P","","","~1 ads","Based in: United States"
"K A","","","~1 ads","Based in: Turkiye"
"N/A","","","~1 ads","Based in: Mexico"
"A B","","","~1 ads","Based in: Saint Vincent and the Grenadines"
"A A","","","~1 ads","Based in: Germany"
